date,year,month,precip_total_mm,evaporation_total_mm,temp_celsius_mean,soil_moisture_m3m3,q_inflow_muesch_mm,obs_runoff_altenahr_mm
2000-01,2000,1,75.99,9.05,2.58,0.44,42.51,55.83
2000-02,2000,2,51.41,17.25,3.52,0.44,31.07,43.36
2000-03,2000,3,52.18,30.31,6.49,0.417,26.66,36.07
2000-04,2000,4,42.33,51.3,10.18,0.345,19.41,25.48
2000-05,2000,5,82.52,86.2,14.18,0.332,28.1,40.47
2000-06,2000,6,68.43,88.26,17.65,0.266,22.02,31.11
2000-07,2000,7,64.64,132.62,18.88,0.229,18.87,28.98
2000-08,2000,8,49.88,96.56,16.15,0.229,14.52,22.22
2000-09,2000,9,65.56,57.97,14.46,0.304,22.35,29.49
2000-10,2000,10,50.58,26.83,11.37,0.318,20.58,25.37
2000-11,2000,11,69.96,11.54,4.59,0.418,32.68,46.02
2000-12,2000,12,91.33,7.64,2.13,0.44,44.55,62.59
2001-01,2001,1,61.28,9.0,0.47,0.44,34.37,49.36
2001-02,2001,2,70.37,14.37,3.8,0.44,38.36,50.99
2001-03,2001,3,62.72,38.02,6.16,0.44,34.87,41.83
2001-04,2001,4,57.03,59.01,9.44,0.382,25.81,32.5
2001-05,2001,5,59.38,92.4,15.87,0.295,21.65,29.47
2001-06,2001,6,59.43,113.65,17.59,0.254,19.51,28.59
2001-07,2001,7,76.09,121.11,18.06,0.242,22.87,31.94
2001-08,2001,8,46.24,97.55,18.81,0.225,15.16,20.67
2001-09,2001,9,38.84,53.93,14.19,0.258,13.74,19.69
2001-10,2001,10,65.44,34.83,10.31,0.346,25.41,35.01
2001-11,2001,11,37.73,12.06,5.47,0.351,23.38,28.17
2001-12,2001,12,80.83,8.46,1.1,0.44,42.04,57.5
2002-01,2002,1,80.42,8.2,3.48,0.44,40.48,58.14
2002-02,2002,2,80.32,12.78,1.92,0.44,41.35,55.89
2002-03,2002,3,38.28,32.36,4.93,0.383,24.45,30.79
2002-04,2002,4,64.77,52.91,9.41,0.401,29.6,38.14
2002-05,2002,5,65.52,102.5,12.17,0.305,24.42,34.11
2002-06,2002,6,78.29,87.2,15.62,0.279,26.32,36.68
2002-07,2002,7,113.98,113.01,18.08,0.282,34.8,49.47
2002-08,2002,8,83.35,115.29,19.07,0.271,24.13,36.65
2002-09,2002,9,44.31,62.16,15.99,0.267,15.26,23.61
2002-10,2002,10,65.56,31.2,12.38,0.346,24.84,33.87
2002-11,2002,11,52.52,10.92,5.31,0.381,25.88,35.41
2002-12,2002,12,129.91,8.51,4.24,0.44,56.64,83.53
2003-01,2003,1,77.93,8.25,0.51,0.44,41.91,56.41
2003-02,2003,2,62.71,15.32,2.51,0.44,34.37,45.57
2003-03,2003,3,52.39,35.4,6.46,0.418,27.54,39.27
2003-04,2003,4,52.39,52.21,9.98,0.37,24.07,31.31
2003-05,2003,5,67.31,94.56,15.4,0.308,26.03,32.8
2003-06,2003,6,23.86,125.04,20.32,0.207,11.47,20.52
2003-07,2003,7,37.74,141.78,22.54,0.201,14.09,17.99
2003-08,2003,8,35.81,98.28,20.72,0.212,11.93,17.14
2003-09,2003,9,38.3,50.68,17.92,0.257,12.62,18.71
2003-10,2003,10,74.5,28.62,8.81,0.363,27.43,40.41
2003-11,2003,11,54.81,12.41,5.45,0.386,25.5,39.04
2003-12,2003,12,86.37,6.43,2.72,0.44,41.71,59.66
2004-01,2004,1,56.56,9.07,2.41,0.429,35.01,44.42
2004-02,2004,2,50.21,13.67,1.82,0.44,33.36,43.38
2004-03,2004,3,41.98,35.64,8.75,0.392,26.43,31.99
2004-04,2004,4,43.15,67.28,8.95,0.347,21.31,29.66
2004-05,2004,5,49.68,87.97,10.21,0.28,18.11,25.88
2004-06,2004,6,48.46,122.46,15.48,0.24,16.59,23.66
2004-07,2004,7,98.12,89.81,20.3,0.265,29.65,40.41
