date,year,month,precip_total_mm,evaporation_total_mm,temp_celsius_mean,soil_moisture_m3m3,q_inflow_guddu_mm,obs_runoff_mm,grace_twsa_mm
2000-01,2000,1,0.84,7.97,17.82,0.145,6.24,5.03,-18.76
2000-02,2000,2,7.13,8.86,20.19,0.135,4.99,4.5,-20.48
2000-03,2000,3,12.4,14.36,25.82,0.118,6.44,5.1,-18.65
2000-04,2000,4,3.71,12.21,29.94,0.104,5.52,5.21,-16.59
2000-05,2000,5,3.69,11.76,35.76,0.108,10.33,8.18,-21.12
2000-06,2000,6,19.18,15.58,33.98,0.125,18.28,13.27,-21.25
2000-07,2000,7,25.8,38.37,33.98,0.251,40.47,33.79,-16.85
2000-08,2000,8,34.73,54.83,31.2,0.294,44.15,37.53,-19.02
2000-09,2000,9,8.56,34.13,31.14,0.188,19.23,16.21,-22.24
2000-10,2000,10,0.77,15.01,27.82,0.139,9.67,6.66,-19.85
2000-11,2000,11,1.01,9.8,22.98,0.127,4.94,4.5,-22.5
2000-12,2000,12,2.67,7.31,17.59,0.145,4.87,4.5,-22.64
2001-01,2001,1,3.93,8.68,15.54,0.148,5.26,4.68,-21.0
2001-02,2001,2,6.93,9.43,20.23,0.144,4.93,5.25,-26.52
2001-03,2001,3,2.82,15.84,24.92,0.113,6.63,4.5,-26.19
2001-04,2001,4,0.7,12.85,29.7,0.108,6.38,6.05,-23.41
2001-05,2001,5,3.52,11.28,34.82,0.1,9.15,7.92,-24.67
2001-06,2001,6,15.34,17.18,34.93,0.121,16.79,13.64,-21.49
2001-07,2001,7,35.78,42.19,33.92,0.239,39.89,35.12,-24.68
2001-08,2001,8,35.79,57.29,31.29,0.274,47.49,42.01,-26.07
2001-09,2001,9,10.67,35.36,31.99,0.179,24.88,16.86,-19.01
2001-10,2001,10,2.76,14.79,28.55,0.15,8.11,5.37,-23.37
2001-11,2001,11,1.43,10.28,22.54,0.135,5.31,4.5,-22.77
2001-12,2001,12,1.41,7.53,17.62,0.135,5.49,4.8,-26.64
2002-01,2002,1,5.16,9.52,16.6,0.133,6.76,4.5,-24.57
2002-02,2002,2,5.81,8.96,20.26,0.136,5.45,4.5,-23.07
2002-03,2002,3,4.64,15.44,25.67,0.128,7.3,8.01,-26.36
2002-04,2002,4,1.02,11.61,31.07,0.116,7.12,4.5,-22.67
2002-05,2002,5,4.45,11.47,34.45,0.096,9.27,7.54,-25.25
2002-06,2002,6,13.06,15.59,35.26,0.112,17.24,13.38,-24.61
2002-07,2002,7,31.93,44.51,34.23,0.228,40.41,35.72,-25.52
2002-08,2002,8,41.91,54.37,30.71,0.308,47.27,41.96,-19.52
2002-09,2002,9,11.34,36.1,30.39,0.203,24.18,17.07,-24.31
2002-10,2002,10,0.82,16.44,26.91,0.145,9.19,8.01,-27.06
2002-11,2002,11,0.49,9.72,23.73,0.138,5.07,4.5,-22.49
2002-12,2002,12,1.63,7.21,17.47,0.138,5.12,4.5,-27.73
2003-01,2003,1,1.61,9.35,16.76,0.149,8.84,4.5,8.31
2003-02,2003,2,6.25,9.4,20.24,0.14,8.15,6.54,3.09
2003-03,2003,3,4.75,15.53,24.83,0.131,10.69,6.91,3.95
2003-04,2003,4,2.15,12.11,30.62,0.102,9.97,6.56,6.08
2003-05,2003,5,3.02,12.07,34.11,0.107,17.85,13.64,7.63
2003-06,2003,6,7.85,16.45,34.62,0.115,26.93,20.23,7.12
2003-07,2003,7,122.86,58.34,34.33,0.337,68.42,75.52,32.4
2003-08,2003,8,122.44,68.49,31.02,0.347,68.75,77.07,32.14
2003-09,2003,9,33.34,42.71,31.61,0.196,38.63,27.91,9.66
2003-10,2003,10,1.87,16.9,28.23,0.137,14.6,11.46,4.34
2003-11,2003,11,0.44,9.65,22.56,0.124,9.37,8.18,4.12
2003-12,2003,12,2.17,6.75,17.52,0.144,8.95,7.09,8.84
2004-01,2004,1,2.08,8.22,15.97,0.14,6.39,5.61,6.75
