date,month,precip_total_mm,year,evaporation_total_mm,temp_celsius_mean
2020-01,1,3.6666995899232186,2020,12.660909635784265,15.434146312572832
2020-02,2,0.8728546266989599,2020,5.802625367304063,20.73435073343225
2020-03,3,10.071671112366941,2020,14.435667019019316,23.740521775438612
2020-04,4,5.053452364038982,2020,8.009782124262014,30.947268677979938
2020-05,5,2.8533477661270443,2020,7.54178305088475,33.83762708680747
2020-06,6,5.147766873574214,2020,6.584562170074736,34.72464811701661
2020-07,7,61.674286975143715,2020,22.05472348576561,34.0000853581381
2020-08,8,167.2570970909546,2020,66.93543806787534,31.692266557092815
2020-09,9,37.557478554561975,2020,67.60565914083551,30.643071560024183
2020-10,10,2.5047819312428476,2020,17.546357630800404,28.393200528303506
2020-11,11,0.1599310743570735,2020,8.306404634320849,21.891420291790883
2020-12,12,0.7456732336308907,2020,5.885992395597293,17.690892512671848
2021-01,1,0.832040529537195,2021,3.8515892474251574,15.968603262234659
2021-02,2,0.8486077746740306,2021,3.822236725952553,21.7783247904406
2021-03,3,3.894443812232349,2021,7.244083841430715,26.940665238430313
2021-04,4,3.3896401915465697,2021,6.854291333800306,30.577224768174826
2021-05,5,3.475266532262473,2021,9.209236889687364,33.30593508631095
2021-06,6,16.38898585972831,2021,8.182173948128238,33.586740540672174
2021-07,7,53.96505366390262,2021,28.882887813688523,32.55474244680652
2021-08,8,4.7321850706177075,2021,6.915113563458259,31.403942739093115
2021-09,9,76.11320580194322,2021,33.70063243725588,31.82417463194145
2021-10,10,1.272586762368564,2021,25.71755288611796,27.843641470440335
2021-11,11,0.25310374936085395,2021,4.3281155939901135,23.328504026118257
2021-12,12,2.7394747602597995,2021,5.942328882307657,17.8303443813623
2022-01,1,8.979411447206772,2022,23.810228577506198,15.851073701490748
2022-02,2,1.2379479326403218,2022,7.571849760041886,20.651552703771287
2022-03,3,2.697467265764614,2022,6.334978839190004,27.53405156832868
2022-04,4,1.5784937265878913,2022,6.041093153655102,32.36755291910894
2022-05,5,0.1300539358521926,2022,5.486037865524742,34.134017619027695
2022-06,6,7.3487505815525775,2022,5.443210662794567,33.82295869725152
2022-07,7,226.72779922451315,2022,91.55218594981507,29.691088775738983
2022-08,8,166.3663965882653,2022,90.91995544752805,28.557722295654816
2022-09,9,18.724773663849085,2022,80.3868891679076,29.66402204964551
2022-10,10,0.0,2022,34.16113135025381,28.11217204368551
2022-11,11,0.22049820619353605,2022,15.140927903771216,23.817696251513915
2022-12,12,0.18181825661125817,2022,9.02928069759896,18.900007203300184
2023-01,1,1.1037477517558034,2023,8.749044401938141,15.256280838543425
2023-02,2,1.1623404455750155,2023,8.079543935798162,22.35578886988259
2023-03,3,5.788919145362378,2023,15.370690580359655,25.628482843334936
2023-04,4,5.256683824122833,2023,14.036230769536692,29.143929427157776
2023-05,5,8.980204251758064,2023,21.30261451120211,32.599059448580114
2023-06,6,24.826787860474447,2023,30.79789961805654,33.29217704102606
2023-07,7,126.69217776505666,2023,55.51580679678886,32.19666561543919
2023-08,8,1.4929440540065841,2023,47.85056761044335,30.556349378714657
2023-09,9,16.514560475994497,2023,25.08121719280488,31.279677211743195
2023-10,10,1.554710513359247,2023,15.31731285224847,29.185333438178095
2023-11,11,1.6397677381478821,2023,8.327793342357653,24.015446676123887
2023-12,12,0.18678508199698354,2023,5.2319490492752445,19.04274850343896
2024-01,1,2.313291054089284,2024,4.014387963159993,16.97437063846955
2024-02,2,7.892956025681911,2024,9.529116940056221,20.1727352468423
2024-03,3,4.374640762990662,2024,7.471716325266954,24.69912103367935
2024-04,4,5.022197689148564,2024,8.3217474652602,29.812443459553116
2024-05,5,1.794649414261727,2024,7.278995975846719,34.8963574882925
2024-06,6,15.38125159351503,2024,10.717644246659248,34.66634938769517
2024-07,7,71.45817754103777,2024,24.815072593950088,34.22512382685575
2024-08,8,151.8276651505888,2024,84.75317522194572,29.690960554092793
2024-09,9,9.510699185770111,2024,67.49754633991986,30.614735225449323
2024-10,10,6.153519875011625,2024,18.852137778018143,30.402763906618357
2024-11,11,0.034639588693979845,2024,8.977934142253515,26.00210532549548
2024-12,12,0.10356311755689891,2024,5.907386406006988,17.609725988962897
